,0
0,elmo2
1,zcchc12
2,akr1e2
3,thbs1
4,nfil3
5,map2k1
6,ch25h
7,pdgfc
8,met
9,il1r2
10,pfkfb2
11,zbtb16
12,cth
13,myo1d
14,dcbld1
15,myo1e
16,khdrbs2
17,wdr35
18,vwa5a
19,znf75d
20,uevld
21,mfap3l
