,0
0,bpi
1,camp
2,crisp3
3,ceacam6
4,olfm4
5,elane
6,ceacam8
7,pglyrp1
8,lcn2
9,ctsg
10,prtn3
11,mmp8
12,ltf
13,tcn1
14,cd177
