"","Model","F-score","Kappa","Balanced accuracy","accuracy","sens","spec","ppv","npv","mcc","j_index","detection_prevalence","precision","recall"
"1","Random Forest",0.96153846,0.95818815,0.99665552,"0.99382716","1.00000000","0.99331104","0.92592593","1.00000000","0.95902682","0.99331104","0.08333333","0.92592593","1.00000000"
"2","XGBoost",0.94339623,0.9383718,0.99498328,"0.99074074","1.00000000","0.98996656","0.89285714","1.00000000","0.94015887","0.98996656","0.08641975","0.89285714","1.00000000"
"3","LDA",0.8444444,0.8329897,0.8783278,"0.9783951","0.7600000","0.9966555","0.9500000","0.9802632","0.8389808","0.7566555","0.0617284","0.9500000","0.7600000"
"4","SVM",0.66666667,0.64711796,0.75832776,"0.95987654","0.52000000","0.99665552","0.92857143","0.96129032","0.67805013","0.51665552","0.04320988","0.92857143","0.52000000"
