Model,F-score,Kappa,Balanced accuracy,accuracy,sens,spec,ppv,npv,mcc,j_index,detection_prevalence,precision,recall
XGBoost,0.9960955,0.9924288,0.9950393,0.9970501,0.9932432,0.9968354,0.9990421,0.9991749,0.9924634,0.9900787,0.2500000,0.9990421,0.9932432
Random Forest,0.9922817,0.9849327,0.9941447,0.9941003,0.9922817,0.9960076,0.9922817,0.9960076,0.9849327,0.9882893,0.2500000,0.9922817,0.9922817
Multiple Layer Perceptron,0.9910683,0.984936,0.9941579,0.9941003,0.9922817,0.9960342,0.9901099,0.9960104,0.9849579,0.9883159,0.2500000,0.9901099,0.9922817
K-Nearest Neighbors,0.9191931,0.8996745,0.9678642,0.9587021,0.9493330,0.9863954,0.9004174,0.9667321,0.9025864,0.9357284,0.2500000,0.9004174,0.9493330
