"","Model","F-score","Kappa","Balanced accuracy","accuracy","sens","spec","ppv","npv","mcc","j_index","detection_prevalence","precision","recall"
"1","XGBoost",0.66666667,0.63820284,0.82494983,"0.94753086","0.68000000","0.96989967","0.65384615","0.97315436","0.63834742","0.64989967","0.08024691","0.65384615","0.68000000"
"2","Multiple Layer Perceptron",0.58181818,0.54338235,0.79658863,"0.92901235","0.64000000","0.95317726","0.53333333","0.96938776","0.54607940","0.59317726","0.09259259","0.53333333","0.64000000"
"3","Random Forest",0.44444444,0.41695159,0.65498328,"0.93827160","0.32000000","0.98996656","0.72727273","0.94568690","0.45672199","0.30996656","0.03395062","0.72727273","0.32000000"
"4","SVM",0.3703704,0.2951715,0.7314381,"0.8425926","0.6000000","0.8628763","0.2678571","0.9626866","0.3266699","0.4628763","0.1728395","0.2678571","0.6000000"
"5","LDA",0.3207547,0.2299465,0.7329766,"0.7777778","0.6800000","0.7859532","0.2098765","0.9670782","0.2871456","0.4659532","0.2500000","0.2098765","0.6800000"
