"","Model","F-score","Kappa","Balanced accuracy","accuracy","sens","spec","ppv","npv","mcc","j_index","detection_prevalence","precision","recall"
"1","XGBoost",0.92307692,0.91637631,0.97498328,"0.98765432","0.96000000","0.98996656","0.88888889","0.99663300","0.91717838","0.94996656","0.08333333","0.88888889","0.96000000"
"2","Random Forest",0.92,0.91331104,0.95665552,"0.98765432","0.92000000","0.99331104","0.92000000","0.99331104","0.91331104","0.91331104","0.07716049","0.92000000","0.92000000"
"3","LDA",0.8333333,0.8168457,0.9832776,"0.9691358","1.0000000","0.9665552","0.7142857","1.0000000","0.8309011","0.9665552","0.1080247","0.7142857","1.0000000"
"4","Multiple Layer Perceptron",0.82352941,0.80846033,0.9116388,"0.97222222","0.84000000","0.98327759","0.80769231","0.98657718","0.80864348","0.82327759","0.08024691","0.80769231","0.84000000"
"5","SVM",0.81481481,0.79808052,0.92829431,"0.96913580","0.88000000","0.97658863","0.75862069","0.98983051","0.80069644","0.85658863","0.08950617","0.75862069","0.88000000"
