"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"208","query_1","TRUE","0.00423526973406938","785","308","30","0.0974025974025974","0.0382165605095541","GO:0032989","GO:BP","cellular anatomical entity morphogenesis","21031","8249","GO:0009653"
"209","query_1","TRUE","0.00441006763921047","90","710","14","0.0197183098591549","0.155555555555556","GO:0055092","GO:BP","sterol homeostasis","21031","14707","GO:0055088"
"210","query_1","TRUE","0.00449395841183237","1398","694","79","0.113832853025937","0.0565092989985694","GO:0023057","GO:BP","negative regulation of signaling","21031","6879","c(""GO:0023051"", ""GO:0023052"", ""GO:0048519"")"
"211","query_1","TRUE","0.00449395841183237","1398","694","79","0.113832853025937","0.0565092989985694","GO:0010648","GO:BP","negative regulation of cell communication","21031","4344","c(""GO:0007154"", ""GO:0010646"", ""GO:0048523"")"
"212","query_1","TRUE","0.00453225059376688","1514","695","84","0.120863309352518","0.0554821664464993","GO:0048699","GO:BP","generation of neurons","21031","13381","GO:0022008"
"213","query_1","TRUE","0.00458082240661017","11","455","5","0.010989010989011","0.454545454545455","GO:0048251","GO:BP","elastic fiber assembly","21031","13031","c(""GO:0085029"", ""GO:0097435"")"
"214","query_1","TRUE","0.00458197892983717","1077","665","63","0.0947368421052632","0.0584958217270195","GO:0032101","GO:BP","regulation of response to external stimulus","21031","7632","c(""GO:0009605"", ""GO:0048583"")"
"215","query_1","TRUE","0.004802689489528","515","677","38","0.0561299852289513","0.0737864077669903","GO:0051493","GO:BP","regulation of cytoskeleton organization","21031","14203","c(""GO:0007010"", ""GO:0033043"")"
"216","query_1","TRUE","0.00480703269367092","189","433","16","0.0369515011547344","0.0846560846560847","GO:0022408","GO:BP","negative regulation of cell-cell adhesion","21031","6836","c(""GO:0007162"", ""GO:0022407"", ""GO:0098609"")"
"217","query_1","TRUE","0.00498092906969571","293","215","14","0.0651162790697674","0.0477815699658703","GO:1901342","GO:BP","regulation of vasculature development","21031","21910","c(""GO:0001944"", ""GO:2000026"")"
"218","query_1","TRUE","0.0053302007397048","617","395","30","0.0759493670886076","0.0486223662884927","GO:0048598","GO:BP","embryonic morphogenesis","21031","13290","c(""GO:0009653"", ""GO:0009790"")"
"219","query_1","TRUE","0.00563517182457273","1570","695","86","0.123741007194245","0.0547770700636943","GO:0120036","GO:BP","plasma membrane bounded cell projection organization","21031","20035","GO:0030030"
"220","query_1","TRUE","0.00577599939299638","2018","675","102","0.151111111111111","0.0505450941526264","GO:0032879","GO:BP","regulation of localization","21031","8155","c(""GO:0050789"", ""GO:0051179"")"
"221","query_1","TRUE","0.00582430473412518","154","677","18","0.0265878877400295","0.116883116883117","GO:0008064","GO:BP","regulation of actin polymerization or depolymerization","21031","3147","c(""GO:0008154"", ""GO:0030832"", ""GO:0110053"")"
"222","query_1","TRUE","0.00628819439932094","388","667","31","0.0464767616191904","0.0798969072164948","GO:0050767","GO:BP","regulation of neurogenesis","21031","13670","c(""GO:0022008"", ""GO:0051960"", ""GO:0060284"")"
"223","query_1","TRUE","0.0064761347808169","345","301","18","0.0598006644518272","0.0521739130434783","GO:0070482","GO:BP","response to oxygen levels","21031","16639","GO:0009628"
"224","query_1","TRUE","0.00656236002024801","57","571","10","0.0175131348511384","0.175438596491228","GO:0052372","GO:BP","modulation by symbiont of entry into host","21031","14581","c(""GO:0043903"", ""GO:0044409"")"
"225","query_1","TRUE","0.00658556432832538","597","308","25","0.0811688311688312","0.0418760469011725","GO:0048667","GO:BP","cell morphogenesis involved in neuron differentiation","21031","13350","c(""GO:0000902"", ""GO:0048666"")"
