,0
452,khdrbs3
453,lgmn
454,myo1b
455,prx
456,wnt9a
457,tmed6
458,atp10a
459,mrpl16
460,nrxn3
461,pcdhb14
462,pcdhb12
463,pcdhb13
464,fcgr1a
465,fcgr2a
466,csta
467,ankrd22
468,tyrobp
469,pygl
470,nlrc4
471,stac3
472,piwil4
473,fcgr2a
474,csta
475,ankrd22
476,tyrobp
477,pygl
478,nlrc4
479,stac3
480,piwil4
481,cited2
482,lgals8-as1
483,gadd45b
484,sertad1
485,adm
486,tubb4b
487,dnajb2
488,rasl11a
489,c11orf96
490,gadd45g
491,fam72b
492,fam72a
493,rnf5
494,fam72d
495,arhgap11a
496,ect2
497,blm
498,cdca2
499,smc2
500,ect2
501,blm
502,cdca2
503,smc2
504,nfatc2
505,sh3pxd2a
506,arl10
507,grid2ip
508,dlgap2
509,nfatc2
510,arl10
511,grid2ip
512,dlgap2
513,atp2a3
514,fmnl1
515,fhod1
516,plekhm1
517,araf
518,prr14
519,gga3
520,crtc2
521,atp2a3
522,fhod1
523,plekhm1
524,araf
525,elf4
526,prr14
527,gga3
528,crtc2
529,wash2p
530,wash3p
531,ino80b
532,wash7p
533,man1b1
534,agap4
535,clasrp
536,bcrp3
537,snrnp70
538,wash3p
539,ino80b
540,wash7p
541,man1b1
542,agap4
543,clasrp
544,bcrp3
545,snrnp70
546,nrxn3
547,mrc1
548,vwa2
549,siglec15
550,tiam2
551,terf2
552,npr1
553,kcnq5
554,fam114a1
555,cdk5rap2
556,cep250
557,ptprcap
558,epb41l2
559,odf2
560,exoc4
561,dnmt1
562,cep250
563,ptprcap
564,epb41l2
565,bub1b
566,odf2
567,exoc4
568,dnmt1
569,rnase2
570,rnase3
571,epx
572,clc
573,tcn1
574,clc
575,rnase2
576,epx
577,elane
578,tcn1
579,nell2
580,cd8a
581,crtam
582,gzmk
583,s100b
584,gzmh
585,themis
586,slc4a10
587,cd8b
588,cd24
589,nbpf15
590,tmem236
591,mmp28
592,gli1
593,ankrd12
594,mier1
595,gcc2
596,mbd4
597,lrfn4
598,pdcd4
599,rgpd1
600,gimap5
601,trappc2
602,rgpd2
603,celsr2
604,nt5dc2
605,krba1
606,gprin1
607,irs1
608,klhl25
609,wasf1
610,cdk18
611,sema6c
612,mgat5b
613,fgfr1op2
614,kif1c
615,cdadc1
616,nt5dc2
617,krba1
618,gprin1
619,irs1
620,klhl25
621,wasf1
622,cdk18
623,sema6c
624,mgat5b
625,fgfr1op2
626,kif1c
627,cdadc1
628,ep300
629,pom121
630,setd1a
631,arid1a
632,znf592
633,asxl1
634,polr2a
635,srcap
636,atxn2l
637,cherp
638,ep300
639,setd1a
640,arid1a
641,znf592
642,asxl1
643,polr2a
644,srcap
645,atxn2l
646,pms2cl
647,cherp
648,nbpf10
649,nbpf9
650,gtf2ird2b
651,gtf2i
652,ppt2-egfl8
653,foxo3
654,nudt4
655,zbtb10
656,btbd3
657,socs2
658,ankrd39
659,dctn4
660,chst2
661,mboat2
662,foxo3
663,zbtb10
664,btbd3
665,socs2
666,ankrd39
667,dctn4
668,chst2
669,mboat2
670,galnt2
671,abhd3
672,dsc2
673,plag1
674,clic5
675,rbm11
676,bcas1
677,sord
678,tnk1
679,ntng1
680,wnk3
681,kcna2
682,acvr1c
683,alyref
684,tmem183a
685,hdgf
686,sox4
687,taf5l
688,atf4
689,c19orf12
690,hnrnpl
691,kdm1a
692,alyref
693,hdgf
694,sox4
695,taf5l
696,atf4
697,c19orf12
698,hnrnpl
699,kdm1a
700,lrrc37a3
701,lrrc37a2
702,grapl
703,depdc5
704,arl17a
705,ighmbp2
706,dnm2
707,csnk1d
708,pomzp3
709,ncbp2
710,ighmbp2
711,dnm2
712,csnk1d
713,pomzp3
714,fmnl1
715,ncbp2
716,muc20
717,tnk2
718,gtf2ird2
719,pnpla7
720,nudcd2
721,rrn3p3
722,snx29p1
723,gtf2h2
724,btbd8
725,trim34
726,snord35b
727,ctage5
728,gtf2ird2b
729,gtf2h2c
730,znf90
731,znf829
732,znf43
733,znf695
734,znf845
735,fancb
736,pigb
737,znf726
738,znf329
739,znf850
740,znf90
741,znf829
742,znf43
743,znf695
744,znf845
745,fancb
746,pigb
747,znf726
748,znf329
749,ddx11
750,ddx12p
751,lig1
752,gbap1
753,rad54l
754,ddx12p
755,lig1
756,gbap1
757,rad54l
758,apoc1
759,gpnmb
760,c1qc
761,cxcl12
762,vcam1
763,apoe
764,brca2
765,parpbp
766,ckap2
767,smc4
768,atad2
769,ttk
770,wee1
771,brca2
772,parpbp
773,aspm
774,ckap2
775,cenpe
776,smc4
777,nuf2
778,atad2
779,ttk
780,wee1
781,henmt1
782,dcps
783,dnmbp
784,pogz
785,atn1
786,tcf7l2
787,or13a1
788,lilrb2
789,wdfy3
790,arhgap24
791,tbl1x
792,slc27a3
793,ptp4a3
794,nlrp12
795,alox5
796,cx3cr1
797,fcgr3a
798,gzmb
799,serpina1
800,sh2d1b
801,klrc1
802,fgl2
803,cx3cr1
804,gzmb
805,serpina1
806,sh2d1b
807,klrc1
808,fgl2
809,eif3a
810,arfgef2
811,osbp
812,snora22
813,zc3h11a
814,rgpd3
815,eif3a
816,arfgef2
817,osbp
818,snora22
819,zc3h11a
820,wdr62
821,sugp2
822,fanca
823,stag3l1
824,pcnt
825,ddx11
826,wdr62
827,sugp2
828,fanca
829,stag3l1
830,pcnt
831,cd300lf
832,cd33
833,mmrn1
834,tfpi
835,loxl3
836,egf
837,aldh2
838,cd300lf
839,mmrn1
840,tfpi
841,loxl3
842,egf
843,aldh2
844,linc00239
845,pvrig
846,lime1
847,pdzd8
848,cd27
849,tsr1
850,alkbh6
851,linc00239
852,lime1
853,pdzd8
854,cd27
855,tsr1
856,alkbh6
857,stag3l3
858,nde1
859,ddx12p
860,nomo3
861,pkd1p1
862,nomo2
863,fam174a
864,nomo1
865,pkd1p1
866,nomo2
867,fam174a
868,nuf2
869,cenpf
870,kif20a
871,esco2
872,ect2
873,ccna2
874,depdc1
875,tmpo
876,nek2
877,rab34
878,tusc1
879,itpripl2
880,tfeb
881,zp3
882,st7-as1
883,lrp3
884,echdc3
885,cspg4
886,linc00092
887,sema3g
888,prkch
889,usp2
890,lilrb4
891,artn
892,c16orf74
893,cacna2d4
894,ccna1
895,ston1
896,sema3g
897,linc00092
898,prkch
899,usp2
900,lilrb4
901,artn
902,c16orf74
903,cacna2d4
904,ccna1
905,ston1
906,aff3
907,ganc
908,mef2a
909,cnih4
910,ormdl2
911,prdm15
912,dip2b
913,zdhhc23
914,ganc
915,mef2a
916,cnih4
917,ormdl2
918,prdm15
919,dip2b
920,zdhhc23
921,iqgap3
922,donson
923,cit
924,spag5
925,rps19bp1
926,sptan1
927,qrich2
928,cul7
929,nbpf1
930,fyn
931,cspg4
932,ryk
933,f2r
934,stac3
935,tspan15
936,kcnq5
937,ncf4
938,znf827
939,tro
940,rab3ip
941,zc3h12b
942,cnksr2
943,grip1
944,cask
945,htra3
946,nbea
947,pcdhb10
948,pcdhb15
949,pcdhga10
950,gpr17
951,pcdhb15
952,pcdhb13
953,pcdhb10
954,pcdhb12
955,pcdhga10
956,or13a1
957,gpr17
958,ncf1b
959,ncf1
960,lilrb4
961,dscaml1
962,fxyd2
963,chrna9
964,ptpn3
965,vipr2
966,dscaml1
967,chrna9
968,ptpn3
969,vipr2
970,mafk
971,bend3
972,arvcf
973,ppp1r37
974,hic2
975,grap
976,polr2j2
977,glrx2
978,ryr3
979,ano1
980,itpr3
981,grap
982,polr2j2
983,glrx2
984,lrrc37a
985,ryr3
986,ano1
987,itpr3
988,stag3
989,bmpr1a
990,tspan13
991,glipr1l2
992,hhex
993,tcea3
994,klhl32
995,tlr5
996,tspan13
997,glipr1l2
998,hhex
999,tcea3
1000,klhl32
1001,tlr5
1002,tigit
1003,ctla4
1004,ccr5
1005,slamf7
1006,dthd1
1007,sgpp2
1008,cadm1
1009,samd3
1010,zbtb20-as1
1011,fcrl3
1012,gzmk
1013,ctla4
1014,ccr5
1015,slamf7
1016,dthd1
1017,cxcr6
1018,sgpp2
1019,cadm1
1020,samd3
1021,zbtb20-as1
1022,fcrl3
1023,fam153a
1024,kcnc3
1025,rhpn2
1026,tnxb
1027,col27a1
1028,kcnc3
1029,rhpn2
1030,tnxb
1031,col27a1
1032,cr2
1033,gramd4
1034,kctd1
1035,clip3
1036,gxylt2
1037,tspan7
1038,cr2
1039,gpr17
1040,gramd4
1041,nlgn4x
1042,kctd1
1043,clip3
1044,gxylt2
1045,xg
1046,pde9a
1047,tspan7
1048,rapgef5
1049,fcgr2b
1050,fcgr2c
1051,hspa7
1052,fcgr2b
1053,hspa7
1054,kcnc3
1055,snx29p1
1056,elmo2
1057,zcchc12
1058,akr1e2
1059,thbs1
1060,nfil3
1061,map2k1
1062,ch25h
1063,pdgfc
1064,met
1065,il1r2
1066,areg
1067,fam156a
1068,msh5-sapcd1
1069,msh5-sapcd1
1070,nbpf9
1071,ppt2-egfl8
1072,nbpf14
1073,commd10
1074,dzip3
1075,uchl3
1076,oxnad1
1077,e2f2
1078,kifap3
1079,tmbim4
1080,faah2
1081,arhgap15
1082,prh1
1083,srgap2
1084,scarna17
1085,znf625-znf20
1086,slc5a3
1087,rbm8a
1088,rnf115
1089,nbpf14
1090,bahcc1
1091,taf15
1092,fam72d
1093,fam72b
1094,tmem191c
1095,mov10
1096,pi4ka
1097,ywhab
1098,tiam1
1099,vipr1
1100,ipcef1
1101,ldoc1
1102,mthfd2l
1103,eppk1
1104,rnf149
1105,bin1
1106,sel1l3
1107,nos3
1108,ctsh
1109,tiam1
1110,ipcef1
1111,ldoc1
1112,mthfd2l
1113,eppk1
1114,rnf149
1115,bin1
1116,ldlrap1
1117,sel1l3
1118,nos3
1119,ctsh
