,0
0,znf492
1,orc6
2,prr11
3,znf157
4,brip1
5,znf799
6,nek2
7,znf98
8,znf850
9,agap1
10,ldlrad3
11,satb2
12,evc
13,mbtps1
14,rbfox2
15,fjx1
16,limch1
17,kctd17
18,ptprm
19,gata6
20,ror2
21,adcy1
22,b3gat1
23,rgmb
24,lnx1
25,dennd1b
26,nuak1
27,bend7
28,dock1
29,gldc
30,ptprg
31,p2rx4
32,mpped2
33,ldlrad3
34,satb2
35,evc
36,mbtps1
37,rbfox2
38,fjx1
39,limch1
40,kctd17
41,ptprm
42,gata6
43,ror2
44,adcy1
45,b3gat1
46,rgmb
47,lnx1
48,dennd1b
49,nuak1
50,bend7
51,dock1
52,gldc
53,ptprg
54,p2rx4
55,mpped2
56,mmp28
57,mrc1
58,srgap2
59,rbm15b
60,ovca2
61,rsc1a1
62,scarna17
63,cd24
64,aspm
65,kif14
66,bub1b
67,cenpe
68,kif18a
69,nuf2
70,cenpf
71,mki67
72,cit
73,kif14
74,bub1b
75,cenpe
76,kif18a
77,nuf2
78,cenpf
79,mki67
80,cit
81,esm1
82,gzmk
83,sytl2
84,adam23
85,fgfbp2
86,reep5
87,gzmb
88,gzmh
89,samd3
90,gzma
91,pi4ka
92,srebf2
93,myo9b
94,abcc1
95,trappc9
96,pi4kap2
97,phka2
98,trrap
99,nomo1
100,snrnp200
101,notch1
102,nomo2
103,syngap1
104,rai1
105,myo9b
106,srebf2
107,abcc1
108,trappc9
109,pi4kap2
110,phka2
111,trrap
112,nomo1
113,snrnp200
114,notch1
115,nomo2
116,syngap1
117,rai1
118,ebf1
119,sh2d4b
120,blnk
121,cd22
122,pax5
123,auts2
124,znf608
125,nav1
126,pou2af1
127,chd7
128,lamc1
129,psd3
130,cd19
131,zcchc7
132,fmnl2
133,chst15
134,cd22
135,blnk
136,sh2d4b
137,pax5
138,auts2
139,znf608
140,nav1
141,pou2af1
142,chd7
143,lamc1
144,psd3
145,cd19
146,zcchc7
147,fmnl2
148,chst15
149,zmynd19
150,rufy1
151,lmnb1
152,clptm1l
153,tuba8
154,thoc3
155,arhgap42
156,znf354c
157,procr
158,znf667
159,cdkn2c
160,pbx4
161,pard3
162,pcdh9
163,crispld1
164,ank2
165,axl
166,klhl14
167,ptgir
168,klf4
169,znf354c
170,fmnl2
171,procr
172,cdkn2c
173,znf667
174,pbx4
175,pard3
176,pcdh9
177,crispld1
178,ank2
179,axl
180,klhl14
181,ptgir
182,klf4
183,gigyf2
184,gpr89b
185,pms2
186,iws1
187,ninj1
188,abhd14b
189,ddx42
190,xkr8
191,psmd9
192,znf224
193,ccar1
194,kif27
195,ercc5
