,0
0,lrrc37a
1,polr2j2
2,ryr3
3,itpr3
4,stag3
5,grapl
6,lrrc37a2
7,lrrc37a3
8,lrrc37a
9,lrrc37a3
10,kansl1
11,nbr2
12,lrrc37a2
13,lrrc37a3
14,stx16
15,lrrc37a
16,lrig2
17,arl17a
18,tg
19,terf2
20,stag3
