GSM5491718_16.001,GSM5491719_16.002,GSM5491720_16.003,GSM5491721_16.006,GSM5491722_16.008,GSM5491723_16.011,GSM5491724_16.012,GSM5491725_16.014,GSM5491726_16.015,GSM5491727_16.017,GSM5491728_16.021,GSM5491729_16.022,GSM5491730_16.025,GSM5491731_16.027,GSM5491732_16.029,GSM5491733_16.033,GSM5491734_16.035,GSM5491735_16.037,GSM5491736_16.038,GSM5491737_16.039,GSM5491738_16.042,GSM5491739_16.044,GSM5491740_16.047,GSM5491741_16.048,GSM5491742_16.049,GSM5491743_16.050,GSM5491744_16.052,GSM5491745_16.053,GSM5491746_16.056,GSM5491747_16.057,GSM5491748_16.059,GSM5491749_16.065,GSM5491750_16.068,GSM5491751_16.070,GSM5491752_16.074,GSM5491753_16.076,GSM5491754_16.077,GSM5491755_16.082,GSM5491756_16.086,GSM5491757_16.089,GSM5491758_16.090,GSM5491759_16.092,GSM5491760_16.094,GSM5491761_16.095,GSM5491762_16.098,GSM5491763_16.099,GSM5491764_16.100,GSM5491765_16.102,GSM5491766_16.103,GSM5491767_16.104,GSM5491768_16.105,GSM5491769_16.106,GSM5491770_16.108,GSM5491771_16.114,GSM5491772_16.115,GSM5491773_16.116,GSM5491774_16.129,GSM5491775_16.131,GSM5491776_16.132,GSM5491777_16.138,GSM5491778_16.139,GSM5491779_16.140,GSM5491780_16.141,GSM5491781_16.144,GSM5491782_16.152,GSM5491783_16.155,GSM5491784_16.158,GSM5491785_16.161,GSM5491786_16.162,GSM5491787_16.164,GSM5491788_16.167,GSM5491789_16.170,GSM5491790_16.171,GSM5491791_16.174,GSM5491792_16.176,GSM5491793_16.177,GSM5491794_16.179,GSM5491795_16.182,GSM5491796_16.186,GSM5491797_16.189,GSM5491798_16.191,GSM5491799_16.192,GSM5491800_16.194,GSM5491801_16.196,GSM5491802_16.199,GSM5491803_16.200,GSM5491804_16.201,GSM5491805_16.202,GSM5491806_16.204,GSM5491807_16.205,GSM5491808_16.207,GSM5491809_16.210,GSM5491810_16.215,GSM5491811_16.217,GSM5491812_16.218,GSM5491813_16.220,GSM5491814_16.221,GSM5491815_16.222,GSM5491816_16.223,GSM5491817_16.225,GSM5491818_16.226,GSM5491819_16.227,GSM5491820_16.229,GSM5491821_16.230,GSM5491822_16.231,GSM5491823_16.232,GSM5491824_16.233,GSM5491825_16.238,GSM5491826_16.239,GSM5491827_16.240,GSM5491828_16.241,GSM5491829_16.242,GSM5491830_16.243,GSM5491831_16.244,GSM5491832_16.245,GSM5491833_16.249,GSM5491834_16.252,GSM5491835_16.253,GSM5491836_16.256,GSM5491837_16.257,GSM5491838_16.258,GSM5491839_16.261,GSM5491840_16.265,GSM5491841_16.266,GSM5491842_16.267,GSM5491843_16.268,GSM5491844_16.269,GSM5491845_16.270,GSM5491846_16.272,GSM5491847_16.273,GSM5491848_16.279,GSM5491849_16.280,GSM5491850_16.282,GSM5491851_16.284,GSM5491852_16.286,GSM5491853_16.287,GSM5491854_16.291,GSM5491855_16.293,GSM5491856_16.294,GSM5491857_16.295,GSM5491858_16.296,GSM5491859_16.302,GSM5491860_16.304,GSM5491861_16.306,GSM5491862_16.312,GSM5491863_16.315,GSM5491864_16.319,GSM5491865_16.322,GSM5491866_16.326,GSM5491867_16.328,GSM5491868_16.335,GSM5491869_16.338,GSM5491870_16.339,GSM5491871_16.340,GSM5491872_16.341,GSM5491873_16.342,GSM5491874_16.343,GSM5491875_16.346,GSM5491876_16.347,GSM5491877_16.348,GSM5491878_16.350,GSM5491879_16.352,GSM5491880_16.354,GSM5491881_16.359,GSM5491882_16.362,GSM5491883_16.363,GSM5491884_16.364,GSM5491885_16.367,GSM5491886_16.372,GSM5491887_16.373,GSM5491888_16.374,GSM5491889_16.376,GSM5491890_16.378,ALL_380,ALL_464,ALL_363,ALL_365,ALL_444,ALL_368,ALL_358,ALL_172,ALL_171,ALL_243,ALL_291,ALL_310,ALL_546,ALL_563,ALL_553,ALL_555,ALL_559,ALL_458,ALL_391,ALL_459,ALL_402,ALL_5,ALL_8,ALL_502,ALL_486,ALL_537,ALL_495,ALL_542,ALL_205,ALL_210,ALL_257,ALL_244,ALL_467,ALL_472,ALL_466,ALL_484,ALL_470,ALL_475,ALL_290,ALL_295,ALL_299,ALL_268,ALL_302,ALL_704,ALL_707,ALL_319,ALL_686,ALL_695,ALL_633,ALL_702,ALL_166,ALL_176,ALL_612,ALL_619,ALL_624,ALL_626,ALL_622,ALL_627,ALL_629,ALL_631,ALL_656,ALL_634,ALL_740,ALL_669,ALL_4,ALL_644,ALL_49,ALL_678,ALL_679,ALL_422,ALL_372,ALL_300,ALL_367,ALL_314,ALL_376,ALL_442,ALL_682,ALL_683,ALL_750,ALL_713,ALL_735,ALL_680,ALL_681,ALL_738,ALL_734,ALL_689,ALL_688,ALL_693,ALL_745,ALL_747,ALL_539,ALL_621,ALL_618,ALL_620,ALL_536,ALL_392,ALL_431,ALL_390,ALL_528,ALL_504,ALL_460,ALL_646,ALL_665,ALL_613,ALL_489,ALL_468,ALL_493,ALL_532,ALL_395,ALL_557,ALL_373,ALL_381,ALL_435,ALL_609,ALL_606,ALL_602,ALL_313,ALL_321,ALL_317,ALL_221,ALL_206,ALL_202,ALL_106,ALL_462,ALL_544,ALL_254,ALL_262,ALL_312,ALL_167,ALL_174,ALL_465,ALL_485,ALL_474,ALL_11,ALL_28,ALL_63,ALL_29,ALL_324,ALL_378,ALL_412,ALL_410,ALL_420,ALL_403,ALL_160,ALL_113,ALL_164,ALL_57,ALL_52,ALL_61,ALL_62,ALL_141,ALL_125,ALL_388,ALL_386,ALL_389,ALL_529,ALL_157,ALL_200,ALL_58,ALL_246,ALL_284,ALL_351,ALL_236,ALL_247,ALL_215,ALL_248,ALL_595,ALL_598,ALL_584,ALL_567,ALL_456,ALL_371,ALL_488,ALL_477,ALL_482,ALL_514,ALL_513,ALL_219,ALL_218,ALL_217,ALL_232,ALL_494,ALL_492,ALL_503,ALL_293,ALL_7,ALL_16,ALL_357,ALL_382,ALL_47,ALL_499,ALL_169,ALL_543,ALL_568,ALL_180,ALL_564,ALL_589,ALL_560,ALL_194,ALL_569,ALL_175,ALL_168,ALL_234,ALL_130,ALL_24,ALL_17,ALL_541,ALL_593,ALL_586,ALL_718,ALL_717,ALL_709,ALL_710,ALL_562,ALL_45,ALL_298,ALL_9,ALL_76,ALL_71,ALL_501,ALL_604,ALL_170,ALL_884,ALL_888,ALL_903,ALL_753,ALL_901,ALL_907,ALL_950,ALL_952,ALL_930,ALL_931,ALL_926,ALL_953,ALL_913,ALL_920,ALL_941,ALL_942,ALL_944,ALL_962,ALL_964,ALL_1003,ALL_1006,ALL_1000,ALL_984,ALL_986,ALL_988,ALL_967,ALL_975,ALL_976,ALL_978,ALL_1026,ALL_1031,ALL_762,ALL_1034,ALL_1039,ALL_1019,ALL_761,ALL_1023,ALL_1056,ALL_1057,ALL_1062,ALL_1065,ALL_1081,ALL_1001,ALL_1005,ALL_905,ALL_985,ALL_989,ALL_1086,ALL_1089,ALL_882,ALL_1092,ALL_1116,ALL_1111,ALL_1118,ALL_1096,ALL_1099,ALL_1100,ALL_1109,ALL_869,ALL_874,ALL_877,ALL_851,ALL_853,ALL_1060,ALL_1047,ALL_1061,ALL_1072,ALL_1058,ALL_1190,ALL_1150,ALL_1178,ALL_1187,ALL_1154,ALL_1162,ALL_1163,ALL_1127,ALL_1128,ALL_1131,ALL_1135,ALL_1139,ALL_1136,ALL_1159,ALL_1110,ALL_1097,ALL_878,ALL_784,ALL_808,ALL_829,ALL_S1,KSALL34,KSALL50,ALL_358_r,ALL_210_r,ALL_257_r,ALL_464_r,ALL_380_r,ALL_680_r,ALL_1026_r,ALL_368_r,ALL33,ALL2,ALL18,ALL14,ALL4,ALL27,ALL26,ALL28,ALL38,ALL22,ALL17,ALL1,ALL30,ALL7,SIHTALLS26,T78,SIHTALLS3,SIHTALLS12,H301TALLS12,SIHTALLS14,CMUTALLS10,SIHTALLS28,H301TALLS10,SIHTALLS6,SIHTALLS19,SIHTALLS5,SIHTALLS24,SIHTALLS9,SIHTALLS16,T70,SIHTALLS35,T92,T115,DMUTALLS1,SIHTALLS1,CMUTALLS14,SIHTALLS36,T84,H301TALLS6,T105,T103,CMUTALLS3,T39,SIHTALLS31,T83,SIHTALLS29,T112,T74,SIHTALLS17,SIHTALLS25,SIHTALLS2,T59,H301TALLS11,SIHTALLS10,T89,SIHTALLS8,T60,SIHTALLS7,CMUTALLS12,T62,T85,T106,SIHTALLS20,T114,CMUTALLS6,T119,T67,SIHTALLS11,SIHTALLS15,SIHTALLS27,H301TALLS4,T97,SIHTALLS22,H301TALLS1,CMUTALLS2,CMUTALLS7,H301TALLS7,SIHTALLS23,SIHTALLS33,T104,T93,H301TALLS5,CMUTALLS1,SIHTALLS18,H301TALLS8,SIHTALLS32,H301TALLS2,H301TALLS14,T79,CMUTALLS9,CMUTALLS15,T95,T80,T82,SIHTALLS4,CMUTALLS8,T77,T90,H301TALLS13,SIHTALLS13,T91,CMUTALLS13,T116,T99,CMUTALLS11,SIHTALLS30,H301TALLS9,CMUTALLS4,T68,T61,T102,T88,SIHTALLS21,T94,H301TALLS3,SIHTALLS34,SIHTALLS37,CMUTALLS5,T101,DMUTALLS2,T81,T87,ALLK.108,ALLT.314,ALLT.315,ALLT.318,ALLT.319,ALLT.320,ALLT.322,ALLT.323,ALLT.324,ALLT.325,ALLT.327,ALLT.329,ALLT.330,ALLT.331,ALLT.333,ALLT.334,ALLT.335,ALLT.337,ALLT.338,ALLT.339,ALLT.340,ALLT.342,ALLT.343,ALLT.346,ALLT.347,ALLT.351,ALLT.354,ALLT.355,ALLT.356,ALLT.357,ALLT.358,ALLT.360,ALLT.361,ALLT.362,ALLT.363,ALLT.364,ALLT.366,ALLT.367,ALLT.368,ALLT.369,ALLT.371,ALLT.372,ALLT.373,ALLT.375,ALLT.376,ALLT.377,ALLT.378,ALLT.379,ALLT.380,GE0310,GE0325,GE0335,GE1312,GE1329,GE2328,GE3309,GE3317,GE3320,GE8315,GE8321,GE8322,GE8329,GE9336,GE9344,GE9347,logFC,logCPM,F,PValue,FDR,class,ensembl_gene_id
1,1,0,0,12,3137,1,2,1,0,198,3,0,0,1,1,0,7,1,1,638,3,1,1,0,1,6,9,2,2,1,0,2,2,1,1,1,0,1,1,1,0,1,9,2114,0,0,1,8,0,1,6,1,109,2,1,6,2,1,2686,2,1,0,1,0,2,2,1,4,1,2077,7,1,4,1,92,4,1,2,8,57,12102,1,13,2,1172,2,1,1,1056,3,1,1,6,13,109,1,14,1,2,0,89,489,1,6,3,425,0,0,2,4,65,0,7,3,3,4717,4,99,0,555,1,1,2,2,1,1,6,0,2,1,748,0,0,1,1,1,0,2,2,3,2,1,1,1,1,0,0,2,12,0,1,2,74,0,1,3,2,13,1,59,1,1,3,10,1,1,12,2,9860,1,13,3,9,7,16,1,0,0,139,1,0,0,1,29,0,5,9,0,19,5,1,0,0,1,1,1,0,0,0,5,11,21,1,0,0,0,82,7,5,0,4,5,1,0,0,0,0,0,31,4,14,1,1,7,12,5,40,0,4,7,1,0,1,3237,5,0,1,0,7,4,1,1,5,1,5,0,5,11,4,2143,0,1,0,0,11,0,0,9,9,11,4,5,7,1,0,21,0,4,5,4,1,0,12,0,0,0,5,0,4,0,4,19,7,0,0,4,0,0,11,0,0,33,4,0,12,5,4,77,12,11,4,12,1086,4,0,4,0,0,1,1,4,0,11,4,1,0,16,0,4,0,1,0,1,9,14,4,1,4,0,1,4,0,12,4,0,0,0,76,0,0,0,0,4,0,0,1,0,1,4,4,4,36,0,0,5,0,0,0,0,12,0,0,1,22,0,4,1,7,5,2149,4,1,1,4,24,5,0,0,0,0,0,0,0,4,232,1219,0,4,0,1,7,0,5,0,0,23,0,0,1,0,0,0,0,0,4,5,4,0,4,0,4,1,0,0,0,1,0,1,11,5,5,9,1,0,0,0,0,0,1,1,0,0,0,1,17,1,0,0,4,0,0,0,4,0,7,0,0,1,5,4,0,0,0,1,16,5,0,0,0,0,31,1,0,1,1,0,0,0,4,4,4,1,0,0,0,0,1,0,5,5,5,5,3086.002,0,86,125,4,7,7,21,0,1,1,0,0,0,528,0,0,146,0,0,579,1,0,20,90,2465,525,865,40,1444,212,1,4,1,68,1,146,1,1,2,1,31,1,1,1,1,490,3,15,1,1,1,2,1,1,1,1,1,18,1,1,11,2,24,577,1,1,1,1380,325,48,2,3,1,1,97,1,1,1,478,1,1384,24,1,1,25,397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,236,497,8,1,1,32,1,2,6,409,1,1,1,1,1,1,1,1,5,507,6,1,3,26,1,2,2,15,3,0,0,1,9,0,2,3,796,1,1,4,3,3,2,4,4,10,13,1,0,2,3,1,3,17,0,3,0,0,6,1,1,1644,11,1,3097,0,8,6,2,2,0,1,0,1,6,0,3,0,0,0,0,0,0,0,0,-1.6839000583043806,1.6464945910847661,30.586708870963292,4.5515759840770695e-8,3.7478616423586844e-7,-,ENSG00000151789
2,14,1,1,5,85,1,22,55,1,1,2,5,2,8,11,8091,2,0,3,15,11,6,28,83,1,9,76,24,2,1,4,190,5,1,0,2,0,9,229,6,1,1,3,13,39,3,115,3,49,225,12,43,2,1,4,6,8,2,29,1,5,110,823,3,25,136,29,14,87,161,13,3,69,36,218,0,84,133,2,1,1,77,70,202,7,27,209,43,14,387,4,115,663,207,8,26,45,82,23,2,50,8,4,4,5,92,4,17,14,5,15,2,11,15,190,48,26,193,5,6,2,3016,53,10,4,1,292,97,1041,290,4,4,41,2,7,19,1,9,18,35,17,2,32,5,27,5,2,4,3,15,136,97,26,21,91,7,9,14,13,6,17,2,4048,12,153,26,22,2,629,137,411,17,1,1,67,61,0,0,76,0,0,11,86,252,22,43,17,20,21,9,9,32,14,8,17,854.001,14,9,24,1,52,29,76,0,11,6,51,153,1,1,14,11,1,1,0,45,0,1,307,0,24,459,0,0,0,0,84,40,1,9,0,25,15,0,0,0,0,1,11,6,9,14,9,8,19,1,31,15,11,37,9,6,15,11,0,9,87,100,9,255,25,0,20,0,1,14,8,26,0,9,1,0,0,30,0,230,6,34,14,9,11,6,6,1,29,6,0,19,0,1,23,16,40,0,1,9,6,1,0,30,0,0,9,0,1,0,0,32,6,48,0,44,9,1,1,6,32,0,19,242,94,0,14,43,1,0,9,44,16,162,33,6,11,0,0,16,16,20,52,0,39,0,0,85,0,0,11,1,9,0,1,21,8,6,28,11,0,6,0,15,1,0,24,0,34,153,19,97,14,17,81,48,0,8,9,88,0,6,0,0,1,1,1,22,17,9,0,1,1,203,6,55,48,27,11,74,17,64,35,9,43,6,0,11,6,9,43,9,50,0,0,25,1,0,22,11,0,0,9,0,0,9,15,24,23,1,0,131,27,0,0,14,6,0,1,0,1,0,0,0,0,117,0,9,11,14,22,22,58,1,17,6,0,27,19,9,0,1,1,0,0,20,9,6,92,0,0,0,0,0,0,17,17,14,25,0,0,1,0,1,6,0,113,0,25,47,65,63,17,0,1,0,0,0,0,0,336,0,0,237,0,0,0,1,0,1,176,4,2,3,3,9,4,298,7,13,8,8,5,61,26,32,22,1,1,1,30,19,151,1,1,13,1,1,161,1,1,5,1,4,1,3,4,4,10,24,64,100,8,217,2,202,1,2,2,2,1,455,1,3,2,2,7,13,2,4,18,248,271,11,1,12,12,3,34,81,1,8,24,91,385,2,92,23,2,5,2,3,168,1,138,8,9,36,15,2,5,6576,1,38,218,2,2,2,4,4,4,10,4,1,63,2,95,12,4,1,42,34,10,70,188,1,1,0,18,26,25,7,0,0,1,0,0,1,49,18,0,15,16,7,1,16,10,7,27,12,0,237,1,14,1,1,26,31,6,30,53,1,37,1,54,1489.001,15,27,0,7,0,23,0,0,0,0,0,0,25,0,0,6,9,1,-1.7506335238593764,1.5057064837360092,50.69104029744725,2.7484949188315273e-12,3.857638042346863e-11,-,ENSG00000214145
3,78,4,1,45,97,12,0,0,0,8,141,65,5,10,6,339,68,84,46,4,1,97,4,9,34,4,3,61,34,122,3,3,125,14,111,3,0,0,22,3,11,19,902,83,4,5,3,109,155,0,1,3,19,0,32,136,61,36,113,8,0,23,8,31,37,66,33,340,11,22,9,434,800,124,215,1,7,11,15,918,9,12,2169,5,5,61,326,78,72,22,192,38,35,311,294,11,40,11,7,52,7,22,116,24,93,87,1,3,9,18,178,7,27,19,14,59,419,136,5,0,77,5,8,52,0,9,40,32,85,3,3,1,32,8,234,22,12,32,4,60,77,56,12,11,94,23,13,59,63,0,29,14,178,89,0,0,8,62,6,112,3,11,1,66,8,25,30,28,24,465,1266,101,52,7,4,28,0,0,24,1,1366,42,35,8,1,30,0,8,26,1,6,5,0,26,9,41,9,7,5,0,1,5,7,8,4,0,1,66,26,0,8,5,0,15,1,12,0,1,64,1,67,5,42,10,7,15,16,0,26,35,1,0,9,7,21,8,1,0,33,15,5,11,31,17,8,1,6,137,5,33,6,16,10,0,12,10,9,10,9,30,13,0,37,5,0,0,6,6,1,24,16,17,30,0,0,21,23,1,21,0,0,18,42,6,12,1,5,6,29,8,1,86,5,0,5,0,1,7,37,33,0,0,8,21,8,17,7,2964,8,5,18,0,20,6,47,1,1077,24,8,10,69,0,8,1,80,4,14,4,34,21,19,11,8,1,5,5,9,11,28,0,16,0,27,7,4,0,6,1,9,7,14,33,41,35,5,0,6,5,9,8,0,7,8,6,4,43,8,25,12,0,1,21,25,0,1,9,0,4,0,0,1,1,39,18,18,13,11,15,1,51,74,29,26,5,0,32,8,5,7,6,5,5,14,8,7,8,23,5,1,8,1,27,0,7,5,9,43,11,16,7,8,0,0,18,5,22,7,0,9,12,1,5,0,5,21,0,1,11,0,0,15,9,0,1,10,39,12,5,9,5,12,9,1,10,33,5,0,5,0,10,11,5,5,0,36,8,1,0,9,7,32,8,6,9,9,1,12,5,0,32,1,11,40,1,53,87,10,18,33,28,12,6,0,1,4,1,32,29,11,5,14,2,0,9,0,12,379,9,2,7,18,28,19,6,3,19,4,4,7,25,6,30,16,15,3,2,3,4,92,105,34,57,5,10,19,1,4,1,7,5,34,32,9,8,2,7,8,5,7,4,13,16,3,4,9,6,25,55,4,2,768,64,9,8,3,4,3,12,15,5215,6,16,3,7,10,8,15,25,5,9,6,9,7,4,1,40,2,5,10,2,8,10,6,467,105,17,6638,27,59,12,12,6,1,2,20,10,7,12,4,3,26,3,6,2,6,5,8,41,58,17,106,31,23,1,30,14,8,17,59,8,1,45,151,42,292,269,85,84,1,0,17,492,27,0,0,14,0,320,12,0,21,0,0,5,0,1,20,1,8,5,0,0,11,1,17,0,5,20,0,36,0,16,0,9,53,87,82,1,0,31,-1.817824763983699,1.2367501532131528,75.0279239252418,3.3449415069919405e-17,7.28120872234824e-16,-,ENSG00000170500
232,315,1130,1036,535,363,830,254,1595,274,113,499,248,319,610,49,32,121,603,361,552,451,391,474,387,380,189,456,1826,39,578,1384,3782,1201,268,475,422,847,3610,102,814,1029,962,291,848,1029,970,353,1334,19,488,685,525,1320,568,324,741,378,850,205,277,355,242,484,2897,1382,1418,794,1506,1025,2066,496,414,1905,826,2458,2922,854,1521,1472,994,932,450,31,2139,1025,264,1341,1863,477,322,778,980,503,869,58,828,284,728,1707,799,401,1278,492,596,1537,804,879,209,924,873,173,1015,345,410,1905,2590,943,699,1770,333,684,741,1277,907,1073,563,696,1248,686,1754,396,946,1048,1242,506,179,395,799,1383,523,810,1004,814,1406,373,1238,170,703,883,1624,1221,655,826,348,1270,700,1086,515,641,195,1000,1055,356,190,436,183,186,530,330,499,606,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,5,5,6,25,4,7,6,4,18,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.74337400953068,2.001881159294075,1462.5241892195654,1.279431744669219e-120,8.28761605274219e-118,-,ENSG00000251992
