Model,F-score,Kappa,Balanced accuracy,accuracy,sens,spec,ppv,npv,mcc,j_index,detection_prevalence,precision,recall
K-Nearest Neighbors,0.9734706,0.9557031,0.9905056,0.9822485,0.9882293,0.9927818,0.9608252,0.9841119,0.9562254,0.9810111,0.2500000,0.9608252,0.9882293
XGBoost,0.958446,0.9231224,0.9619289,0.9704142,0.9484931,0.9753647,0.9699085,0.9842810,0.9236556,0.9238578,0.2500000,0.9699085,0.9484931
Random Forest,0.9338883,0.9066664,0.9372366,0.9644970,0.9054376,0.9690355,0.9687822,0.9825074,0.9077208,0.8744731,0.2500000,0.9687822,0.9054376
Multiple Layer Perceptron,0.7493893,0.8028051,0.842489,0.9260355,0.7336390,0.9513389,0.8452749,0.9694335,0.8055629,0.6849779,0.2500000,0.8452749,0.7336390
