GSM5491718_16.001,GSM5491719_16.002,GSM5491720_16.003,GSM5491721_16.006,GSM5491722_16.008,GSM5491723_16.011,GSM5491724_16.012,GSM5491725_16.014,GSM5491726_16.015,GSM5491727_16.017,GSM5491728_16.021,GSM5491729_16.022,GSM5491730_16.025,GSM5491731_16.027,GSM5491732_16.029,GSM5491733_16.033,GSM5491734_16.035,GSM5491735_16.037,GSM5491736_16.038,GSM5491737_16.039,GSM5491738_16.042,GSM5491739_16.044,GSM5491740_16.047,GSM5491741_16.048,GSM5491742_16.049,GSM5491743_16.050,GSM5491744_16.052,GSM5491745_16.053,GSM5491746_16.056,GSM5491747_16.057,GSM5491748_16.059,GSM5491749_16.065,GSM5491750_16.068,GSM5491751_16.070,GSM5491752_16.074,GSM5491753_16.076,GSM5491754_16.077,GSM5491755_16.082,GSM5491756_16.086,GSM5491757_16.089,GSM5491758_16.090,GSM5491759_16.092,GSM5491760_16.094,GSM5491761_16.095,GSM5491762_16.098,GSM5491763_16.099,GSM5491764_16.100,GSM5491765_16.102,GSM5491766_16.103,GSM5491767_16.104,GSM5491768_16.105,GSM5491769_16.106,GSM5491770_16.108,GSM5491771_16.114,GSM5491772_16.115,GSM5491773_16.116,GSM5491774_16.129,GSM5491775_16.131,GSM5491776_16.132,GSM5491777_16.138,GSM5491778_16.139,GSM5491779_16.140,GSM5491780_16.141,GSM5491781_16.144,GSM5491782_16.152,GSM5491783_16.155,GSM5491784_16.158,GSM5491785_16.161,GSM5491786_16.162,GSM5491787_16.164,GSM5491788_16.167,GSM5491789_16.170,GSM5491790_16.171,GSM5491791_16.174,GSM5491792_16.176,GSM5491793_16.177,GSM5491794_16.179,GSM5491795_16.182,GSM5491796_16.186,GSM5491797_16.189,GSM5491798_16.191,GSM5491799_16.192,GSM5491800_16.194,GSM5491801_16.196,GSM5491802_16.199,GSM5491803_16.200,GSM5491804_16.201,GSM5491805_16.202,GSM5491806_16.204,GSM5491807_16.205,GSM5491808_16.207,GSM5491809_16.210,GSM5491810_16.215,GSM5491811_16.217,GSM5491812_16.218,GSM5491813_16.220,GSM5491814_16.221,GSM5491815_16.222,GSM5491816_16.223,GSM5491817_16.225,GSM5491818_16.226,GSM5491819_16.227,GSM5491820_16.229,GSM5491821_16.230,GSM5491822_16.231,GSM5491823_16.232,GSM5491824_16.233,GSM5491825_16.238,GSM5491826_16.239,GSM5491827_16.240,GSM5491828_16.241,GSM5491829_16.242,GSM5491830_16.243,GSM5491831_16.244,GSM5491832_16.245,GSM5491833_16.249,GSM5491834_16.252,GSM5491835_16.253,GSM5491836_16.256,GSM5491837_16.257,GSM5491838_16.258,GSM5491839_16.261,GSM5491840_16.265,GSM5491841_16.266,GSM5491842_16.267,GSM5491843_16.268,GSM5491844_16.269,GSM5491845_16.270,GSM5491846_16.272,GSM5491847_16.273,GSM5491848_16.279,GSM5491849_16.280,GSM5491850_16.282,GSM5491851_16.284,GSM5491852_16.286,GSM5491853_16.287,GSM5491854_16.291,GSM5491855_16.293,GSM5491856_16.294,GSM5491857_16.295,GSM5491858_16.296,GSM5491859_16.302,GSM5491860_16.304,GSM5491861_16.306,GSM5491862_16.312,GSM5491863_16.315,GSM5491864_16.319,GSM5491865_16.322,GSM5491866_16.326,GSM5491867_16.328,GSM5491868_16.335,GSM5491869_16.338,GSM5491870_16.339,GSM5491871_16.340,GSM5491872_16.341,GSM5491873_16.342,GSM5491874_16.343,GSM5491875_16.346,GSM5491876_16.347,GSM5491877_16.348,GSM5491878_16.350,GSM5491879_16.352,GSM5491880_16.354,GSM5491881_16.359,GSM5491882_16.362,GSM5491883_16.363,GSM5491884_16.364,GSM5491885_16.367,GSM5491886_16.372,GSM5491887_16.373,GSM5491888_16.374,GSM5491889_16.376,GSM5491890_16.378,ALL_380,ALL_464,ALL_363,ALL_365,ALL_444,ALL_368,ALL_358,ALL_172,ALL_171,ALL_243,ALL_291,ALL_310,ALL_546,ALL_563,ALL_553,ALL_555,ALL_559,ALL_458,ALL_391,ALL_459,ALL_402,ALL_5,ALL_8,ALL_502,ALL_486,ALL_537,ALL_495,ALL_542,ALL_205,ALL_210,ALL_257,ALL_244,ALL_467,ALL_472,ALL_466,ALL_484,ALL_470,ALL_475,ALL_290,ALL_295,ALL_299,ALL_268,ALL_302,ALL_704,ALL_707,ALL_319,ALL_686,ALL_695,ALL_633,ALL_702,ALL_166,ALL_176,ALL_612,ALL_619,ALL_624,ALL_626,ALL_622,ALL_627,ALL_629,ALL_631,ALL_656,ALL_634,ALL_740,ALL_669,ALL_4,ALL_644,ALL_49,ALL_678,ALL_679,ALL_422,ALL_372,ALL_300,ALL_367,ALL_314,ALL_376,ALL_442,ALL_682,ALL_683,ALL_750,ALL_713,ALL_735,ALL_680,ALL_681,ALL_738,ALL_734,ALL_689,ALL_688,ALL_693,ALL_745,ALL_747,ALL_539,ALL_621,ALL_618,ALL_620,ALL_536,ALL_392,ALL_431,ALL_390,ALL_528,ALL_504,ALL_460,ALL_646,ALL_665,ALL_613,ALL_489,ALL_468,ALL_493,ALL_532,ALL_395,ALL_557,ALL_373,ALL_381,ALL_435,ALL_609,ALL_606,ALL_602,ALL_313,ALL_321,ALL_317,ALL_221,ALL_206,ALL_202,ALL_106,ALL_462,ALL_544,ALL_254,ALL_262,ALL_312,ALL_167,ALL_174,ALL_465,ALL_485,ALL_474,ALL_11,ALL_28,ALL_63,ALL_29,ALL_324,ALL_378,ALL_412,ALL_410,ALL_420,ALL_403,ALL_160,ALL_113,ALL_164,ALL_57,ALL_52,ALL_61,ALL_62,ALL_141,ALL_125,ALL_388,ALL_386,ALL_389,ALL_529,ALL_157,ALL_200,ALL_58,ALL_246,ALL_284,ALL_351,ALL_236,ALL_247,ALL_215,ALL_248,ALL_595,ALL_598,ALL_584,ALL_567,ALL_456,ALL_371,ALL_488,ALL_477,ALL_482,ALL_514,ALL_513,ALL_219,ALL_218,ALL_217,ALL_232,ALL_494,ALL_492,ALL_503,ALL_293,ALL_7,ALL_16,ALL_357,ALL_382,ALL_47,ALL_499,ALL_169,ALL_543,ALL_568,ALL_180,ALL_564,ALL_589,ALL_560,ALL_194,ALL_569,ALL_175,ALL_168,ALL_234,ALL_130,ALL_24,ALL_17,ALL_541,ALL_593,ALL_586,ALL_718,ALL_717,ALL_709,ALL_710,ALL_562,ALL_45,ALL_298,ALL_9,ALL_76,ALL_71,ALL_501,ALL_604,ALL_170,ALL_884,ALL_888,ALL_903,ALL_753,ALL_901,ALL_907,ALL_950,ALL_952,ALL_930,ALL_931,ALL_926,ALL_953,ALL_913,ALL_920,ALL_941,ALL_942,ALL_944,ALL_962,ALL_964,ALL_1003,ALL_1006,ALL_1000,ALL_984,ALL_986,ALL_988,ALL_967,ALL_975,ALL_976,ALL_978,ALL_1026,ALL_1031,ALL_762,ALL_1034,ALL_1039,ALL_1019,ALL_761,ALL_1023,ALL_1056,ALL_1057,ALL_1062,ALL_1065,ALL_1081,ALL_1001,ALL_1005,ALL_905,ALL_985,ALL_989,ALL_1086,ALL_1089,ALL_882,ALL_1092,ALL_1116,ALL_1111,ALL_1118,ALL_1096,ALL_1099,ALL_1100,ALL_1109,ALL_869,ALL_874,ALL_877,ALL_851,ALL_853,ALL_1060,ALL_1047,ALL_1061,ALL_1072,ALL_1058,ALL_1190,ALL_1150,ALL_1178,ALL_1187,ALL_1154,ALL_1162,ALL_1163,ALL_1127,ALL_1128,ALL_1131,ALL_1135,ALL_1139,ALL_1136,ALL_1159,ALL_1110,ALL_1097,ALL_878,ALL_784,ALL_808,ALL_829,ALL_S1,KSALL34,KSALL50,ALL_358_r,ALL_210_r,ALL_257_r,ALL_464_r,ALL_380_r,ALL_680_r,ALL_1026_r,ALL_368_r,ALL33,ALL2,ALL18,ALL14,ALL4,ALL27,ALL26,ALL28,ALL38,ALL22,ALL17,ALL1,ALL30,ALL7,SIHTALLS26,T78,SIHTALLS3,SIHTALLS12,H301TALLS12,SIHTALLS14,CMUTALLS10,SIHTALLS28,H301TALLS10,SIHTALLS6,SIHTALLS19,SIHTALLS5,SIHTALLS24,SIHTALLS9,SIHTALLS16,T70,SIHTALLS35,T92,T115,DMUTALLS1,SIHTALLS1,CMUTALLS14,SIHTALLS36,T84,H301TALLS6,T105,T103,CMUTALLS3,T39,SIHTALLS31,T83,SIHTALLS29,T112,T74,SIHTALLS17,SIHTALLS25,SIHTALLS2,T59,H301TALLS11,SIHTALLS10,T89,SIHTALLS8,T60,SIHTALLS7,CMUTALLS12,T62,T85,T106,SIHTALLS20,T114,CMUTALLS6,T119,T67,SIHTALLS11,SIHTALLS15,SIHTALLS27,H301TALLS4,T97,SIHTALLS22,H301TALLS1,CMUTALLS2,CMUTALLS7,H301TALLS7,SIHTALLS23,SIHTALLS33,T104,T93,H301TALLS5,CMUTALLS1,SIHTALLS18,H301TALLS8,SIHTALLS32,H301TALLS2,H301TALLS14,T79,CMUTALLS9,CMUTALLS15,T95,T80,T82,SIHTALLS4,CMUTALLS8,T77,T90,H301TALLS13,SIHTALLS13,T91,CMUTALLS13,T116,T99,CMUTALLS11,SIHTALLS30,H301TALLS9,CMUTALLS4,T68,T61,T102,T88,SIHTALLS21,T94,H301TALLS3,SIHTALLS34,SIHTALLS37,CMUTALLS5,T101,DMUTALLS2,T81,T87,ALLK.108,ALLT.314,ALLT.315,ALLT.318,ALLT.319,ALLT.320,ALLT.322,ALLT.323,ALLT.324,ALLT.325,ALLT.327,ALLT.329,ALLT.330,ALLT.331,ALLT.333,ALLT.334,ALLT.335,ALLT.337,ALLT.338,ALLT.339,ALLT.340,ALLT.342,ALLT.343,ALLT.346,ALLT.347,ALLT.351,ALLT.354,ALLT.355,ALLT.356,ALLT.357,ALLT.358,ALLT.360,ALLT.361,ALLT.362,ALLT.363,ALLT.364,ALLT.366,ALLT.367,ALLT.368,ALLT.369,ALLT.371,ALLT.372,ALLT.373,ALLT.375,ALLT.376,ALLT.377,ALLT.378,ALLT.379,ALLT.380,GE0310,GE0325,GE0335,GE1312,GE1329,GE2328,GE3309,GE3317,GE3320,GE8315,GE8321,GE8322,GE8329,GE9336,GE9344,GE9347,logFC,logCPM,F,PValue,FDR,class,ensembl_gene_id
9,7,4,0,18,0,1,28,99,0,14,519,25,10,12,20,4,3,10419,5,1,0,5,23,149,0,0,11,100,0,3,0,20,16,1,9,4,1063,310,13,21,0,3,3,43,1082,0,3,13,0,3,33,0,253,7,45672,594,12,6016,6,5,0,23,0,3,133,946,4,18,15,15,19,3,1,14,3,9,11,40,8,4,134,3,0,108,96,0,404,59,13,9,6,131,3,41,8,0,226,0,1,142,1,105,5,168,5,4,1,8,862,0,23,0,3,105,22,3,5,10,1,199,185,8,0,0,5,520,14,16,25,9,38,12,22,24,5,3,1,12,15,4,25,0,3,0,213,6102,1,1,24,61,5,7,1,4,49,4,12,127,0,6,1,0,6660,7,1,42,10,1721,1,14,20,20,0,0,3,6,1,0,39,11,0,3,6,0,3,0,0,1,0,0,0,1,832,313,6,0,0,0,3,33,5,1,3,701,5,6,0,0,0,2251,14,85,0,32,97,5,46,9,23,0,0,6,2,0,1,24,14,0,0,1,0,0,17,48,2434,1,119,346,8,0,0,5,14,1,17,2,2,38,5,143,319,1,0,17,0,284,3,8,0,0,5,0,0,922,0,27,0,8,1,12,0,0,0,5,8,2,3,27,0,0,5,3,14,0,0,0,26,5,1,6,6,9,3,366,5,0,17,20,15,0,0,0,8,6,3,0,8,3,1,9,0,6,109,415,14,6,0,14,0,0,1,0,9,6,0,0,0,6,3905.825,30,0,33,5,1,697,12,36,36,26,1,9,1,0,0,3,6,1,3,0,5,1,0,6,38,0,3,6,1,811,29,1,1,2,0,0,24,1736,15,27,208,8,24,6,0,64,35,3,452,0,975,0,6,103,0,0,8,6,84,0,29,5,59,0,0,9,33,5,3,38,14,11,11,2526,1,69,14,21,12,14,0,1,15,0,1,107,12,5,129,23,1589,1,0,69,1788,427,0,0,1,39,1,3,564,6,372,23,41,0,119,0,14,3,5,5,3,12,1084,20,8,20,1,983,11,152,1,21,2,6,14,0,73,52,54,27,8,15,42,146,1,1,14,205,1,965,372,112,11,0,12,3,5,35,0,0,6,1,5,0,0,40,2,45,84,1,0,415,18,1,0,0,0,0,1,1,0,1,1,0,7,17,14,2,14,7,106,19,220,3,11,33,20,2,5,11,2,6,27,5,1,22,5,1,7,1,609,9107,2,1,1,10,7,11,2,2,6,1,2,3,8,3,33,26,50,8,12,6,62,12,385,6,50,1,5,3,5,11,3,9,33,12,34,20,13,4,16,18,8,3,5,15,7,5,6,6,34,12,9,16,0,9,2,2,1,1,4,45,80,29,1,0,5,5,1,1,1,1,1,2,1,0,0,1,0,0,0,3,593,29,8,0,1,1,5,0,1,576,4,5,5,3,3,4,38,0,0,1,4,1,22,537,1,4,18,4269,5,32,1,8,6,1,3,8,2,5,32,5,6,10,4,3371,15,18,23,0,2,4,0,4,4,0,58,0,3,0,3,5,10,0,2,9,1,2.5416414748408642,2.8741489443872648,37.10502064220508,1.8699841246592974e-9,1.2750488245204828e-8,+,ENSG00000173546
927,603,936,805,1,18,800,54,40,41,8,37,9,33,7,4,1,37,18,11,4,24,9,30,18,350,6,19,13,0,6,650,21,1734,1244,375,22,12,14,6,15,1784,145,11,10,18,2050,8,105,4,24,1053,179,94,161,6,40,43,9,12,695,634,14,7,367,120,60,54,49,20,14,29,13,1,11,48,55,38,33,58,12,37,129,6,14,1,43,20,8,41,21,9,64,23,69,71,206,46,0,25,14,6,16,0,7,9,13,879,1,37,0,44,521,4,15,272,31,13,39,61,18,14,422,12,828,11,12,37,53,31,20,10,127,1,10,33,7,312,7,165,27,14,149,33,304,44,16,460,9,16,11,16,19,9,20,24,53,20,36,15,1772,5062,1023,11,37,218,0,5,9,18,12,30,48,21,6,16,9,53,0,8,22,1,23,186,7,5,19,6,5,19,1331,7,7,3,3,27,1,9,5,158,58,6,16,711,1,11,16,3,4,0,1,9,4,943,5,4,5,7,4,18,640,0,4,7,4,581,27,9,9,11,4,4,11,16,1,8,13,6,4,51,412,293,5,32,17,37,12,1,18,1,4,7,4,102,10,448,6,240,16,91,4,6,14,24,14,203,16,4,0,121,13,13,128,6,743,5,5,15,0,27,4,112,12,14,98,1,270,5,463,10,14,30,15,1,12,1359,13,5,4,9,78,431,607,4,125,0,1002,198,6,23,26,1,410,4,8,14,13,9,12,18,5,1,11,16,22,1,402,1,3,6,4,8,24,155,6,4,20,1,11,4,189,134,177,4,5,315,17,5,15,8,6,6,1,50,0,1,0,30,18,7,27,5,13,5,0,1,0,0,20,167,1,20,11,8,7,9,43,8,1,161,0,22,0,14,426,10,1,41,19,141,31,118,8,12,6,0,13,4,313,4,7,43,1,23,10,193,5,17,1,26,373,4,7,1,10,35,5,12,5,5,7,3,8,0,12,0,5,0,11,19,243,165,0,14,1,5,14,1,0,80,138,623,0,4,7,57,9,4,21,3,83,1,10,5,13,27,146,24,138,221,5,36,1,109,9,6,8,6,5,13,4,8,8,0,10,11,18,1,12,21,51,10,648,5,14,44,0,8,363,11,27,1,24,4,130,3,4,3,36,634,0,11,77,0,0,12,3,35,29,50,3,14,35,169,41,15,43,14,0,1,14,3,54,321,3,8,123,27,7,6,16,17,18,17,1284,7,31,7,574,142,806,598,92,92,1,4,117,1,0,40,9,232,1,1,26,59,3,45,1,4,148,60,1654,8,4,16,143,23,1,178,99,6,4,9,27,4,1,7,18,17,1,4,470,25,223,1,116,53,1,6,185,8,0,9,15,12,14,43,0,0,0,19,159,0,38,8,1582,29,133,41,6,5,160,89,69,125,2,316,3,897,3,1,252,4,297,2,3,3,120,300,420,1,2,90,131,542,88,107,7,5,2,16,6,1,3,71,133,229,3,164,28,1,43,2,4,0,1,4,2,1,4,4,3,0,146,25,47,31,29,13,44,15,85,88,79,74,45,85,48,19,18,1.651636153391219,1.9505137140118605,33.27298399461977,1.2146781315667038e-8,7.497822622110847e-8,+,ENSG00000123612
402,4,259,199,2,2,11,9,9,402,3,49,13,5,0,5,2,57,540,142,2,151,16,9,8,65,0,14,0,0,0,9,18,127,4,381,103,42,16,2,48,207,169,2,139,425,26,40,55,3,0,9,10,154,42,76,245,9,1518,2,87,2,45,11,31,4,7,102,155,38,10,196,1,2,21,17,158,24,7,9,12,9,1,3,37,0,0,46,6,49,11,266,4,19,194,206,11,57,2,28,437,4,53,4,120,60,2,388,206,466,0,172,243,2,60,3,12,679,20,51,5,920,2,23,6,5,270,21,1,5,2,1,2,6,138,161,253,41,2,9,64,192,80,14,273,78,131,91,35,14,2,10,14,19,95,8,152,88,127,3194,490,365,52,0,2,16,181,0,139,1,0,215,63,16,5,8,5,33,847.001,13,36,0,21,72,0,1,5,1,13,1,23,79,0,1,23,0,0,1,51,44,171,1,0,0,25,6,2,2,0,82,39,216,1,23,6,19,3,13,14,3,8,0,19,32,0,23,38,1,0,2,0,5,5,0,0,38,7,232,48,1,15,54,0,0,0,7,4,4,556,7,0,29,15,0,12,8,64,17,1,3,0,1,244,11,0,8,2,2,1,39,0,78,6,84,3,1,0,12,1,19,6,4,8,72,6,3,77,60,33,563,2,36,3,4,2,179,2,224,0,170,2,154,0,4,28,6,12,32,0,6,5,0,13,134,79,92,1,0,6,6,1,9,11,1,0,1,50,0,3,0,0,4,21,55,52,27,0,2,1,1,95,96,71,1,0,8,1,0,41,42,23,1,1,47,4,4,0,18,4,156,80,0,159,14,0,8,5,33,83,75,2,21,3,169,15,7,29,252,19,53,220,4,1,7,2,0,0,23,79,17,16,19,4,4,3,50,4,55,52,35,63,8,3,11,6,29,27,3,38,1,39,14,0,18,5,13,3,513,32,144,31,93,14,248,4,51,400,13,29,14,125,10,1,7,5,2,77,119,7,17,31,58,3,61,75,15,18,12,0,1,3,53,136,14,0,6,106,13,42,15,7,100,1,6,7,16,10,40,24,7,5,12,0,61,66,11,2,0,16,8,2,10,15,2,192,32,0,0,0,0,8,33,366,182,48,14,9,0,0,50,0,84,27,0,0,0,0,0,12,59,15,274,112,73,27,67,45,5,17,0,311,94,1293,114,102,135,97,0,17,12,23,32,1,52,228,366,1,1,0,5,8,40,8,104,313,10,101,53,1,0,50,240,48,51,0,142,0,0,0,29,40,1,17,0,23,23,11,0,0,5,17,0,172,5,8,196,1,0,8,12,127,54,380,12,33,1,0,80,1,0,5,8,8,1,0,1,1,15,7,0,1,0,0,0,1,19,0,12,17,8,13,0,1,8,8,1,66,96,7,157,21,19,125,7,1,33,0,5,3,15,21,1,4,10,4,53,19,41,27,72,51,133,26,133,36,274,41,183,5,81,88,23,6,2,18,9,0,0,2,318,0,11,2,0,84,11,0,51,0,0,6,0,22,6,70,0,20,0,24,17,0,1.629836509897566,1.19074243797356,32.286354380388524,1.971381224365727e-8,1.1857131415881198e-7,+,ENSG00000205592
1016,1187,283,1363,0,287,1387,159,3419,1092,0,239,610,53,0,65,49,110,1,86,0,9878,4173,2716,349,95,102,86,0,0,0,1181,1082,291,139,1751,1019,1,1,53,6937,106,1928,128,0,0,649,331,1050,0,55,272,1068,84,338,0,63,184,29,159,183,2948,756,58,1469,99,6950,1567,2942,5677,81,49,0,47,396,45,393,486,1370,46,38,0,350,0,3621,0,698,85,0,1,68,206,289,347,130,69,310,0,73,1505,40,47,64,30,0,667,0,829,2015,65,0,305,424,154,28,60,239,2422,102,722,1,39,1937,586,24,67,76,75,633,1968,811,26,1568,1,32,1172,288,539,1,1272,55,177,5126,2154,906,1111,53,2497,122,49,143,1326,2728,95,1487,126,1444,1,110,2390,2988,970,795,1440,139,365,1466,149,984,276,982,1515,1470,409,338,923,487,71,899,8,1946,0,355,712,10,18,596,387,1224,20,2501,1513,474,74,12,5,12,274,38,846,24,4,272,163,21,169,506,19,6,652,12,341,4,177,12,0,498,36,135,22,950,3,403,171,4,1850,86,12,271,3,5,926,41,4,4,44,756,119,6,17,858,444,5,1051,19,443,66,498,295,434,0,11,606,174,297,275,88,1539,439,580,22,6,10,1312,17,135,1862,181,8,269,0,8,343,135,685,15,6,1468,4,128,104,79,16,781,265,7,74,9,290,17,69,839,20,973,41,1199,1645,195,8,14,3,1703,2134,5,5,1395,2818,135,4,516,221,5,41,6,5,8,156,6,7,351,8,9,8,9,51,3,203,570,189,5,6,11,16,117,267,5,172,15,7,15,880,455,385,8,1,894,536,168,554,514,269,11,8,60,669,393,405,385,50,1,542,286,130,216,6,386,11,17,437,493,1,761,6,5,115,3,21,200,7,23,2,174,1,9,991,7,2,43,3,71,1645,466,13,8,512,212,55,312,818,2162,10,169,5,11,295,243,13,7,852,31,614,181,7,165,4,357,5,4,6,741,14,12,691,435,165,20,84,109,225,7,40,65,10,121,1,5,19,52,1,253,1905,819,11,235,54,368,9,518,4,7,13,38,2,2,18,206,1086,1486,55,349,4,772,5,131,34,12,140,14,5,53,6,0,6,342,5,18,142,1,38,166,226,1,279,21,125,170,3,239,210,90,744,9,264,709,64,0,1,55,265,75,19,10,86,0,1,0,1,14,24,33,31,16,92,36,285,28,101,133,6,21,203,104,155,62,58,112,104,97,19,451,48,11,62,20,19,806,286,335,26,12,45,25,79,29,2195,109,173,48,554,717,185,94,1015,46,26,97,19,40,1795,35,47,76,25,131,87,42,70,2914,974,1228,84,5,36,43,54,62,144,10,58,101,142,150,31,381,116,25,63,31,105,818,15,3766,98,40,51,49,70,44,3274,5,4561,1092,45,51,180,90,11,187,99,49,83,307,41,516,49,220,1,441,819,30,638,755,100,4,16,1,1,306,144,360,439,14,1,157,416,1111,211,607,1921,5,1511,11,4,4,27,18,1122,1935,8,672,276,298,673,199,55,10,379,11,76,1,2,80,11,2,942,91,195,73,371,101,17,50,678,5,95,19,87,1429,174,461,59,1.5014289711760376,3.9150640408084043,30.809417924592275,4.078167597976048e-8,2.3415232493778139e-7,+,ENSG00000148483
