Model,mcc,accuracy,kap,sens,spec,npv,j_index,bal_accuracy,detection_prevalence,precision,recall,f_meas,UN_mcc
XGBoost,0.722,0.95253165,0.711,0.63636364,0.98939929,0.95890411,0.62576293,0.813,0.07594937,0.87500000,0.63636364,0.737,0.861
STACKED (all models),0.722,0.95253165,0.711,0.63636364,0.98939929,0.95890411,0.62576293,0.813,0.07594937,0.87500000,0.63636364,0.737,0.861
RF,0.675,0.94620253,0.64,0.51515152,0.99646643,0.94630872,0.51161795,0.756,0.05696203,0.94444444,0.51515152,0.667,0.838
SVM RBF,0.529,0.92721519,0.438,0.30303030,1.00000000,0.92483660,0.30303030,0.652,0.03164557,1.00000000,0.30303030,0.465,0.765
KNN(8),0.526,0.9113924,0.526,0.5757576,0.9505300,0.9505300,0.5262876,0.763,0.1044304,0.5757576,0.5757576,0.576,0.763
SVM Linear,0.34,0.88607595,0.338,0.36363636,0.94699647,0.92733564,0.31063283,0.655,0.08544304,0.44444444,0.36363636,0.4,0.67
LASSO,0.329,0.9018987,0.297,0.2424242,0.9787986,0.9172185,0.2212228,0.611,0.0443038,0.5714286,0.2424242,0.34,0.664
