"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000124713",1.82013574115314,1.38612983393717,171.739370242286,1.14586896157165e-35,5.6385269796563e-35,"+","ENSG00000124713"
"ENSG00000231889",1.81821702162342,3.94204922867518,276.85803524731,1.44174531100212e-53,1.32775636306341e-52,"+","ENSG00000231889"
"ENSG00000100162",1.81748354880658,3.51396139356338,151.268347314464,5.97927996828565e-32,2.57850238845047e-31,"+","ENSG00000100162"
"ENSG00000106804",1.81683782852779,4.35962518533223,211.352367059009,1.23110946641928e-42,7.73601764467633e-42,"+","ENSG00000106804"
"ENSG00000113810",1.8156044776887,8.26280931865777,331.629104356686,3.36428192446394e-62,4.11063298039963e-61,"+","ENSG00000113810"
"ENSG00000255423",1.81530584246126,3.44084797520063,243.622071317593,4.14555657546877e-48,3.15315018307637e-47,"+","ENSG00000255423"
"ENSG00000162999",1.81521781844524,2.08209989236923,73.3036572355942,5.70808348895598e-17,1.3906889101144e-16,"+","ENSG00000162999"
"ENSG00000186994",1.81341892810604,1.92293558920674,68.2461826181482,6.00891768129077e-16,1.4109973911044e-15,"+","ENSG00000186994"
"ENSG00000123870",1.81255280579487,2.43699417803603,248.575280350723,6.20740510957377e-49,4.86396670904766e-48,"+","ENSG00000123870"
"ENSG00000167525",1.81166615882481,2.78558047794729,272.613107337913,7.02158889879677e-53,6.28359569315772e-52,"+","ENSG00000167525"
"ENSG00000130600",1.80946648782143,2.09760278755381,16.2746154550263,6.0077742455032e-05,8.53199941005249e-05,"+","ENSG00000130600"
"ENSG00000165650",1.80819148574228,7.63628758413374,124.691434373594,5.36935514855528e-27,1.92306796598546e-26,"+","ENSG00000165650"
"ENSG00000148926",1.8078715280797,4.48578587979504,32.5653329105943,1.62638202096699e-08,2.77027213232708e-08,"+","ENSG00000148926"
"ENSG00000164105",1.80771462196006,5.02941659621055,111.998593962686,1.40937598271182e-24,4.57201568791714e-24,"+","ENSG00000164105"
"ENSG00000158321",1.80646621873029,7.0502594024968,116.913896140836,1.61430171945188e-25,5.43517880425728e-25,"+","ENSG00000158321"
"ENSG00000001167",1.80610373951417,7.11439699558599,427.457525173182,2.49075991996236e-76,4.86748504840837e-75,"+","ENSG00000001167"
"ENSG00000135547",1.80498643378181,2.04633155503944,20.4139779041254,7.18366410974441e-06,1.07094698400785e-05,"+","ENSG00000135547"
"ENSG00000197279",1.80437401070946,2.77698099695964,115.585436455593,2.89591789202172e-25,9.64336682169463e-25,"+","ENSG00000197279"
"ENSG00000072682",1.80347827146239,3.98257694870103,43.7521867271781,6.83977094934042e-11,1.29755654734856e-10,"+","ENSG00000072682"
"ENSG00000197961",1.80320474181299,6.76588621936133,480.544621735228,1.09923859281425e-83,2.71173383656991e-82,"+","ENSG00000197961"
"ENSG00000168356",1.80272310581879,1.47352426043192,99.1606515387911,4.2943456399421e-22,1.26414312667624e-21,"+","ENSG00000168356"
"ENSG00000142178",1.80209311842056,6.4894940893352,32.0243778226919,2.12522091329768e-08,3.60199406621613e-08,"+","ENSG00000142178"
"ENSG00000148498",1.80176955509072,6.24799507510824,60.5722891895136,2.20558544934255e-14,4.84340443233523e-14,"+","ENSG00000148498"
"ENSG00000160957",1.80160436161959,4.58375612621042,178.610715337735,6.75329336157478e-37,3.47052414494235e-36,"+","ENSG00000160957"
"ENSG00000132846",1.8011555303575,3.65991484131863,129.909942433889,5.56639880313693e-28,2.07258510385953e-27,"+","ENSG00000132846"
"ENSG00000185842",1.79921524079578,2.71592227749719,23.7550981428618,1.32092597316961e-06,2.04611858993063e-06,"+","ENSG00000185842"
"ENSG00000168411",1.79799618111498,7.00483003737433,521.800453021151,3.42433007299997e-89,1.0285672922974e-87,"+","ENSG00000168411"
"ENSG00000148400",1.79738048848892,7.40851697198041,110.895479031884,2.29597909452792e-24,7.38904383199264e-24,"+","ENSG00000148400"
"ENSG00000145555",1.79677064337216,4.94574765435936,33.1413956227465,1.22360469695051e-08,2.09437996934835e-08,"+","ENSG00000145555"
"ENSG00000180884",1.79582645182365,4.63563910452148,269.961873348003,1.89348014639084e-52,1.67711934331519e-51,"+","ENSG00000180884"
"ENSG00000136383",1.7956257944763,1.8069438649665,50.229556856276,3.01872599968607e-12,6.05424862008136e-12,"+","ENSG00000136383"
"ENSG00000100918",1.79050624713948,5.34434336409363,134.600995392645,7.33999011054347e-29,2.82036457430892e-28,"+","ENSG00000100918"
"ENSG00000114529",1.78870515409504,3.01439376678703,68.9430662664665,4.34026559918812e-16,1.02454586892969e-15,"+","ENSG00000114529"
"ENSG00000115257",1.78834243659435,1.82442578712357,63.6047980136619,5.28679249513041e-15,1.18852077991705e-14,"+","ENSG00000115257"
"ENSG00000023839",1.78704247041139,2.31907386432926,137.956208244541,1.73471300398143e-29,6.8107824325758e-29,"+","ENSG00000023839"
"ENSG00000143799",1.78695263617327,8.78810612272639,291.677615316583,6.02587915382482e-56,6.00551519969515e-55,"+","ENSG00000143799"
"ENSG00000163453",1.78626116993259,5.59272583078108,45.4874652014835,2.95525792892423e-11,5.68278406723781e-11,"+","ENSG00000163453"
"ENSG00000196159",1.78581905038717,2.59353282918692,29.4134827530982,7.76254380817333e-08,1.28020803831796e-07,"+","ENSG00000196159"
"ENSG00000168078",1.78575798047225,3.0490003988771,70.5578911232001,2.04480583854068e-16,4.89365558113315e-16,"+","ENSG00000168078"
"ENSG00000000938",1.78548351395325,4.58874792603817,49.9079809060492,3.52190722762439e-12,7.04598646093958e-12,"+","ENSG00000000938"
"ENSG00000075826",1.78507636915871,5.76314176150607,80.7602446664297,1.82659423464093e-18,4.7167933907862e-18,"+","ENSG00000075826"
"ENSG00000144677",1.78330855585937,3.63766555450088,121.05039347772,2.63159145647881e-26,9.15238025710777e-26,"+","ENSG00000144677"
"ENSG00000179639",1.78310919319352,1.57473123791934,20.3763200121808,7.32280876242708e-06,1.09093876580085e-05,"+","ENSG00000179639"
"ENSG00000135636",1.78153599868104,4.84774683050215,49.9879373816849,3.38943523214418e-12,6.7861921882893e-12,"+","ENSG00000135636"
"ENSG00000182141",1.77893435965022,5.70510195161299,371.270846854567,3.46574787114607e-68,5.20503985833234e-67,"+","ENSG00000182141"
"ENSG00000136527",1.7787551245634,9.70723093071215,382.285803391052,8.17755465062801e-70,1.30039153365869e-68,"+","ENSG00000136527"
