"","Model","F-score","Kappa","Balanced accuracy","accuracy","sens","spec","ppv","npv","mcc","j_index","detection_prevalence","precision","recall"
"1","Random Forest",0.96153846,0.95818815,0.99665552,"0.99382716","1.00000000","0.99331104","0.92592593","1.00000000","0.95902682","0.99331104","0.08333333","0.92592593","1.00000000"
"2","LDA",0.94339623,0.9383718,0.99498328,"0.99074074","1.00000000","0.98996656","0.89285714","1.00000000","0.94015887","0.98996656","0.08641975","0.89285714","1.00000000"
"3","SVM",0.93877551,0.93376942,0.95832776,"0.99074074","0.92000000","0.99665552","0.95833333","0.99333333","0.93399706","0.91665552","0.07407407","0.95833333","0.92000000"
"4","XGBoost",0.90909091,0.90073529,0.9916388,"0.98456790","1.00000000","0.98327759","0.83333333","1.00000000","0.90520605","0.98327759","0.09259259","0.83333333","1.00000000"
